,video_id,comments
13,3Nh8B38NPZA,"['Upin Dan Ipin berasal dari Indonesia tepatnya di Sumatra, dikarenakan Upin Ipin meninggal di Indonesia.dan animation Upin Ipin meniru lagu berasal dari Indonesia (sahabat selamanya,rasa Sayange,dan lain lain).selain itu makanan khas semutera pun di claim.', 'bestlaa kampung boyy nii , rinduu ! 🥰👍 Syabas untuk semua yg terlibat dalam penghasilan episod ni 🔥', 'datuk lat pernah beli banner dengan ayah saya dulu.dia orang ipoh perak.memang humble orang nye dan tak sombong walaupun dapat gelaran datuk', 'Saye suka sekali upin ipin🤩', 'Sehat-sehat selalu Atuk', 'Saya lebih suka tengok the amazing  Awang khenit dan dll', 'Yey!', 'Tipu upin ipin baru  kartunis legenda tak de pun', 'Bikin upin ipin pergi ke Indonesia donkk', 'Assalammualaikum saye suke upin ipin seronok nye salam dari Indonesia']"
14,Brg8SyTy1cQ,"['Rindu dengan zaman kanak2 dahulu', 'Upin Ipin dh ade thun 2007 2008 baru aku lahir dan 2008 aku suka tgk upin Ipin geng pengembaraan bermula', 'Hihi🤗🇲🇾😇❤️😁', 'semoga di baca👇', 'halo saya dari indonesia saya sangat ngefans banget sama upin ipin saya nungguin serial upin dan ipin terbaru 2023 edisi bulan puasa', 'WATUkecil noton Upin ipin seru', 'Kenape upin ipin dulu best sekarang biasa je', ""Patut lah logo Let's coppice ni dari  segi Bahasa katak Di Bawah Tempurung"", 'Ank sulung sy mmg mnat upin ipin..sorang lg mnat baby shark msing² ad mnat', 'Upin ipin di negeri mana']"
15,9j1CM-pw5HE,"['Rasa sayang dan cinta hati seperti sinetron tajwid cinta', 'Terimakasih ya Upin Ipin ❤️❤️❤️', 'Uupinhariitusudabesatelifoayansayabalibalinatibulijupamaladq', '4r5ttr', '4r5ttr', 'Rrerdr6yrt', 'Ty', 'Oh SEKARANG HARI WANITA YA ASTAGA LUPA AKU', 'Semoga selamat dipermudahkan umur...♥♥♥', 'Selamat hari wanita Sedunia 🎉🎉🎉']"
16,7XX3JBtbMKQ,"['❤❤❤❤❤❤❤', '❤❤❤❤❤😊😊😊❤❤❤', 'Hemsem nya abg iz😍', 'Ya Allah Abang is terseyum manis cantik 😊😊😊😊', '💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖', '🤩😙🙏Upin&Ipin🙏🙏', 'Kak ros  suka bg iz', 'Hensemnya bg zi😙😙😙😙😍😍😍😍', 'Kak ros keliatan nye suke dengan ♡abang iz♡ 😆 \n\n\n\n\n👇 like disini kalau benar😉', 'i♥️ love you Abang iz Aina🤭🥰🙏😍\U0001faf0']"
17,VYmh69kLKKA,"['siapa yang tutup muka tu🤔🤔🤔🤔🤔', 'Uhhhhhhh buatan nasi lemak chef wan', 'Nazi😂nasi😮', 'Benci upin ipin', 'Macam pedas jee', 'Memang sedap lah:)', 'Saye sangat suka nasi lemak', 'Sedap gl😋😋😋😋', '🤤🤤🤤🤤', 'Upin Ipin yang baik']"
18,QAdD1b3_p6c,"['iioiiyioyyji', 'setakat 100 aku ada puluh ribu', 'di Indonesia namanya adalah youtuber salam dari jawa Timur', 'itu sebenarnya pengaruh sampai tidak berteman lagi sekarang berteman🤣', 'Ndnbdhddjkdxnhfgdskdkd', 'Sikit je aku dah 24.7m dah', 'Kece', 'ape ade channel ehsan?', '""Aku Tak Nak Hidup Bergaya Sorang-sorang, Aku Nak Kawan-kawan Aku Balik""\n\nKata-kata yang menakjubkan dan babak yang gempak, di tambah ehsan campak peranti nya', 'Ehsan: aku dah ada ramai pengikut Kat media sosial\nUncle muhtu : berapa ramai\nEhsan:uuu dalam seratus orang']"
19,id5ohmcLYa0,"['🤣🤣🤣', '😅😅😅😅😅😅😅😅😅😅😅😊😊😂😂😂😂😂😂😊😊😊😊😊😊😊😊', 'Adu bang kena pa budak tu    Dah sangat nangis🤣🤣🤣😹😹', 'Sedih🤣', 'Tengok cerita upin ipin nangis', 'Kocak kocak menghayal itu😂😂😂🤣🤣🤣', 'Alahh cuman kartun malah nangis awokwokwokk😂😂🤣', 'hahahahahahahahahahahahahahahha', '🤣😂', '🤣🤣🤣🤣🤣🤣🤣🤣🤣']"
20,EAAb4aLX0_c,"['Subscribe YouTube Channel baru : https://www.youtube.com/watch?v=fY6CLfD70C4', 'Di indo lagi ramai yang pakai sound ini untuk yah korang taulah(sok malay gua) ok lah bye', 'cuma ggingetin 35 hari lagi kita menyambut bulan suci ramadhan 😇🕌 yay', 'saya orang indonesia bangga banget', 'Kayak nya ada cukup banyak orang Indonesia', 'Tapi kan Indonesia yg ngecover', 'paling sih the best nya kalimba cover', 'The real\nDRXML REMIX\nTetep terkeren 😍', 'Les copaque nanti ade ke upin ipin di bulan ramadan', 'Kenapa upin dan ipin keluar dekat tv Indonesia\nDulu']"
21,A9upwM3zfRU,"['bomba begi ni ke?pelik je tengok😑😑😑', '😊😊😊😊😊😊😊😊😊😊😊😊😅😅😅😅😅😂😂😂😂😂😂😂😢🎉', 'Kontrol banget sih itu aja Le', 'Hgshsgsgjsgzghsjdgsjjshkdghdkh😂🤣🤭👙', 'Kucing atas pokok kerbau masuk parit kuda terlepas ular dalam rumah semua kami biar kan 😂🤣😆', 'Kenapa upin ipin tak besar besar', 'penaknye🌞', '🤣🤣', '👍👍👍👍👍', 'Tugas bomba memang semua itu']"
22,SqzZz8buqoc,"['Lu tuh neledek kin pencip kanya lagi juuuuu🙄🙄🙄🙄😒😒😒', 'BAGUS  SEKALI', '👑\n👩\u200d🦲', '🤣🤣🤣🤣🤣🤣', 'Aiya Susanti Upin dan Ipin', '😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😮😮😮😮😂😂😂😂', '👍👍👍👍🤣🤣🤣🤣😆😆👊🏻', 'Upin dan Ipin', '❤️🌈❤️🌈❤️🌈❤️🌈❤️🌈', 'Wahh di Cianjur keren banget 😲😲😯😯😱😱']"
